SplitIndex,Left_Child,Right_Child,SplitEntropy,Counter
"[1.0833972877916547, 1.0460584911356179]",['Professional'],"['Agriculture', 'Crafts', 'Labor', 'Missing', 'Sales', 'Service']",1.07309178,1
"[1.0460584911356179, 1.0833972877916547]","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Sales', 'Service']",['Professional'],1.07309178,6
"[1.0848685051635965, 1.061528458852803]","['Crafts', 'Labor', 'Professional']","['Agriculture', 'Missing', 'Sales', 'Service']",1.073114458,3
"[1.061528458852803, 1.0848685051635965]","['Agriculture', 'Missing', 'Sales', 'Service']","['Crafts', 'Labor', 'Professional']",1.073114458,4
"[1.0664289628782015, 1.0828457263946665]","['Agriculture', 'Crafts', 'Professional']","['Labor', 'Missing', 'Sales', 'Service']",1.073140136,3
"[1.0828457263946665, 1.0664289628782015]","['Labor', 'Missing', 'Sales', 'Service']","['Agriculture', 'Crafts', 'Professional']",1.073140136,4
"[1.079242179444215, 1.0689339249527698]","['Labor', 'Sales', 'Service']","['Agriculture', 'Crafts', 'Missing', 'Professional']",1.073178864,3
"[1.0689339249527698, 1.079242179444215]","['Agriculture', 'Crafts', 'Missing', 'Professional']","['Labor', 'Sales', 'Service']",1.073178864,4
"[1.098775860703346, 1.0368434189492128]","['Labor', 'Professional']","['Agriculture', 'Crafts', 'Missing', 'Sales', 'Service']",1.073185376,2
"[1.0368434189492128, 1.098775860703346]","['Agriculture', 'Crafts', 'Missing', 'Sales', 'Service']","['Labor', 'Professional']",1.073185376,5
"[1.0640981251431965, 1.084832738893362]","['Sales', 'Service']","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Professional']",1.073449436,2
"[1.084832738893362, 1.0640981251431965]","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Professional']","['Sales', 'Service']",1.073449436,5
"[1.0667719532421294, 1.0815273656592308]","['Missing', 'Sales', 'Service']","['Agriculture', 'Crafts', 'Labor', 'Professional']",1.07347091,3
"[1.0815273656592308, 1.0667719532421294]","['Agriculture', 'Crafts', 'Labor', 'Professional']","['Missing', 'Sales', 'Service']",1.07347091,4
"[1.0424132388295584, 1.0998465913508486]","['Crafts', 'Sales', 'Service']","['Agriculture', 'Labor', 'Missing', 'Professional']",1.073507656,3
"[1.0998465913508486, 1.0424132388295584]","['Agriculture', 'Labor', 'Missing', 'Professional']","['Crafts', 'Sales', 'Service']",1.073507656,4
"[1.0832250496205886, 1.053175602362247]","['Agriculture', 'Missing', 'Professional']","['Crafts', 'Labor', 'Sales', 'Service']",1.073567157,3
"[1.053175602362247, 1.0832250496205886]","['Crafts', 'Labor', 'Sales', 'Service']","['Agriculture', 'Missing', 'Professional']",1.073567157,4
"[1.097060279151978, 1.0455566089719206]","['Agriculture', 'Labor', 'Professional']","['Crafts', 'Missing', 'Sales', 'Service']",1.073595207,3
"[1.0455566089719206, 1.097060279151978]","['Crafts', 'Missing', 'Sales', 'Service']","['Agriculture', 'Labor', 'Professional']",1.073595207,4
"[1.0810283932597915, 1.057696034205267]","['Agriculture', 'Professional']","['Crafts', 'Labor', 'Missing', 'Sales', 'Service']",1.07359937,2
"[1.057696034205267, 1.0810283932597915]","['Crafts', 'Labor', 'Missing', 'Sales', 'Service']","['Agriculture', 'Professional']",1.07359937,5
"[1.0953977462439153, 1.01333671386026]","['Labor', 'Missing', 'Service']","['Agriculture', 'Crafts', 'Professional', 'Sales']",1.073717221,3
"[1.01333671386026, 1.0953977462439153]","['Agriculture', 'Crafts', 'Professional', 'Sales']","['Labor', 'Missing', 'Service']",1.073717221,4
"[1.064580524786143, 1.1656875625039393]",['Crafts'],"['Agriculture', 'Labor', 'Missing', 'Professional', 'Sales', 'Service']",1.073720601,1
"[1.1656875625039393, 1.064580524786143]","['Agriculture', 'Labor', 'Missing', 'Professional', 'Sales', 'Service']",['Crafts'],1.073720601,6
"[1.0759755834161266, 0.35335933502142136]",['Missing'],"['Agriculture', 'Crafts', 'Labor', 'Professional', 'Sales', 'Service']",1.073807735,1
"[0.35335933502142136, 1.0759755834161266]","['Agriculture', 'Crafts', 'Labor', 'Professional', 'Sales', 'Service']",['Missing'],1.073807735,6
"[1.0616717625302443, 1.1533047155511529]","['Agriculture', 'Crafts']","['Labor', 'Missing', 'Professional', 'Sales', 'Service']",1.073840619,2
"[1.1533047155511529, 1.0616717625302443]","['Labor', 'Missing', 'Professional', 'Sales', 'Service']","['Agriculture', 'Crafts']",1.073840619,5
"[1.0933546901350217, 1.0186772027345765]","['Labor', 'Service']","['Agriculture', 'Crafts', 'Missing', 'Professional', 'Sales']",1.07384893,2
"[1.0186772027345765, 1.0933546901350217]","['Agriculture', 'Crafts', 'Missing', 'Professional', 'Sales']","['Labor', 'Service']",1.07384893,5
"[1.0662013859582715, 1.1487127055891695]","['Crafts', 'Missing']","['Agriculture', 'Labor', 'Professional', 'Sales', 'Service']",1.073907943,2
"[1.1487127055891695, 1.0662013859582715]","['Agriculture', 'Labor', 'Professional', 'Sales', 'Service']","['Crafts', 'Missing']",1.073907943,5
